Назва фіду,Ідентифікатор фіду,Ідентифікатор клієнта,Час завантаження
"PRODUCTS SOURCE 2","407310700","5747965785","23 бер. 2026 р., 13:19 EET"

Ідентифікатор товару,Номер рядка,Повідомлення,Тип,Значення,Назва позиції
"variant_01KKJ7XZWYW1R0WMMCXN29WW2P","11 753","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XP1ZXA261BQ60KM776RA","1 145","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XWEQRB652JGNV1FHCVXA","7 619","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XXHC9S7TCVWGF0KEFWSH","8 999","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XX0VK9YMSVE13S031VK0","8 375","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XVW119B1S6RQG70ZBF5X","6 838","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XTNHH7EFHYSMAMHXT9G3","5 690","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XQDPJE9781G8KEADGT91","2 292","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XWEV9P883ZQJY1FMNJ6C","7 921","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XVJSMFZS3VH6PNH5B9H8","6 674","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XXTXZDETGW0Y6P0DQF11","9 562","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XNGBENHYPW0XN9QGPKYD","893","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XYGK0T2J44CPPTK1D5Q9","10 455","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XSWXDY9ZDE23YN3BNZZF","4 720","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XTZTDV2PJSMVPBEAFRXY","5 990","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XYGH2Y4JGQFSDQYG7AXQ","10 238","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XT84PK7524XJ30F20941","5 259","Товар завантажено через кілька фідів",Попередження,,
