Product Id,Product Handle,Product Title,Product Status,Product Thumbnail,Product Sales Channel 1,Variant Id
prod_01KKJ7XM7PE4DX2B21HR58PJA1,hazonokosarka-akumulyatorna-moweo-385-li,Газонокосарка акумуляторна Moweo 38.5 Li,published,/products/al-ko-113278-moweo-3-85-li.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XMFQXS4M56TYES1BH0X7
prod_01KKJ7XM7PG25T3NPQZ0J1CK0S,hazonokosarka-akumulyatorna-moweo-460-li-sp,Газонокосарка акумуляторна Moweo 46.0 Li SP,published,/products/119934-al-ko-moveo-46-0-li-sp-002.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XMFR3P6QXKBDPKP407G0
prod_01KKJ7XM7PT2D3334X4QW6W99J,hazonokosarka-akumulyatorna-moweo-420-li,Газонокосарка акумуляторна Moweo 42.0 Li,published,/products/119933-al-ko-moveo-42-0-li-002.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XMFQQN2RZ6RJMXZ6SK08
prod_01KKJ7XM7Q2D73Q0F2J05C7NXA,robot-hazonokosarka-500-w,Робот-газонокосарка 500 W,published,/products/500-w.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XMFWMM62J01QZAKAG0YQ
prod_01KKJ7XM7Q4SA3HVTY5VZXF4CY,113714-hazonokosarka-akumulyatorna-469-li-sp,Газонокосарка акумуляторна 46.9 LI SP,published,/products/113714-battery-lawnmower-46-9-li-sp-webshop.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XMFR7NFS56PFXZD8378P
prod_01KKJ7XM7Q4WN0RHQKYGC104YB,113886-hazonokosarka-akumulyatorna-381-li,Газонокосарка акумуляторна 38.1 Li,published,/products/113886-lawnmower-38-1-2akku-1-webshop-1.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XMFVZWZMAGV5WDZ5EEHM
prod_01KKJ7XM7Q5XNN8HE43ZNPERXQ,hazonokosarka-akumulyatorna-348-li,Газонокосарка акумуляторна 34.8 Li,published,/products/b079l9l8hz-main.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XMFTJ92A6SDFN3DDW0B2
prod_01KKJ7XM7Q6AWJZKTR6HHRV6B3,21-aktsiya,АКЦІЯ,published,/products/b079l9l8hz-main.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XMFT9HY2CPCE2S3S1CXH
prod_01KKJ7XM7Q6RM053G2A6ACB4RN,robot-hazonokosarka-700-w,Робот-газонокосарка 700 W,published,/products/700-w.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XMFXHVWK76QD67X9S2P5
prod_01KKJ7XM7QC5MF29CEZ7CYZZM4,123012-hazonokosarka-akumulyatorna-512-li-vs-w,Газонокосарка акумуляторна 51.2 Li VS-W,published,/products/123012-energy-flex-lawnmower-512-li-vs-w-set-with-2-batteries-and-charger-webshop-2.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XMFSYG1HA24FDS6C5TTN
prod_01KKJ7XM7QEW1T7FJD05A55DGX,113901-hazonokosarka-akumulyatorna-321-li,Газонокосарка акумуляторна 32.1 Li,published,/products/113901-lawnmower-32-1-li-2-webshop.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XMFT30RVMJD8Q4ZTSSZJ
prod_01KKJ7XM7QHS25JMYYKNKJC6WC,robot-hazonokosarka-450-w,Робот-газонокосарка 450 W,published,/products/al-ko-robo-450-w-retusche.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XMFWHZ260YAJ4N59B2PP
